,Date,Open,High,Low,Close,Adj Close,Volume
2270,2006-04-03,11342.959961,11579.099609,11342.959961,11564.360352,11564.360352,16600.0
2271,2006-04-04,11599.799805,11710.69043,11570.110352,11638.009766,11638.009766,18000.0
2272,2006-04-05,11671.139648,11755.200195,11653.389648,11746.900391,11746.900391,16200.0
2273,2006-04-07,11845.129883,11930.660156,11564.870117,11589.44043,11589.44043,30400.0
2274,2006-04-10,11620.379883,11691.919922,11535.280273,11662.549805,11662.549805,22000.0
2275,2006-04-12,11693.150391,11702.769531,11302.780273,11355.730469,11355.730469,27000.0
2276,2006-04-13,11366.910156,11380.830078,11008.429688,11237.230469,11237.230469,32800.0
2277,2006-04-17,11323.740234,11560.900391,11323.740234,11539.679688,11539.679688,22800.0
2278,2006-04-18,11624.969727,11834.769531,11624.969727,11821.570313,11821.570313,24200.0
2279,2006-04-19,11880.049805,11986.089844,11799.620117,11895.980469,11895.980469,26200.0
2280,2006-04-20,11941.490234,12053.740234,11866.209961,12039.549805,12039.549805,26400.0
2281,2006-04-21,12053.900391,12102.0,11860.349609,12030.299805,12030.299805,32800.0
2282,2006-04-24,12063.730469,12071.070313,11882.480469,11915.240234,11915.240234,16600.0
2283,2006-04-25,11943.080078,11953.0,11621.610352,11646.780273,11646.780273,18800.0
2284,2006-04-26,11677.049805,11965.089844,11635.400391,11938.530273,11938.530273,18600.0
2285,2006-04-27,11968.799805,12086.910156,11803.490234,11835.019531,11835.019531,31200.0
2286,2006-04-28,11698.679688,11877.320313,11344.610352,11851.929688,11851.929688,22800.0
2287,2006-05-02,12103.780273,12288.509766,12103.780273,12218.780273,12218.780273,19800.0
2288,2006-05-03,12231.120117,12337.009766,12134.19043,12310.719727,12310.719727,19200.0
2289,2006-05-04,12358.30957,12482.910156,12264.139648,12347.629883,12347.629883,20200.0
2290,2006-05-05,12373.469727,12443.540039,12304.589844,12359.700195,12359.700195,20000.0
2291,2006-05-08,12393.219727,12511.070313,12393.219727,12462.469727,12462.469727,17600.0
